description,class,class_reason,tool,is_invasive,tool_reason,is_invasive_reason,,,,
R CTA UPPER EXT W&W/O C & RECONS RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,CT,No,,,,,,
R FOOT (AP & LAT) SOFT TISSUE RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
R HAND FILM IN OR RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
R MR WRIST W&W/O CONTRAST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
R MR WRIST W/O CONTRAST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
R MRA UPPER EXTREMITY RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
"RO ANKLE (AP, MORTISE & LAT) RIGHT IN O.R.",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"RO HAND (AP, LAT & OBLIQUE) RIGHT IN O.R.",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"RP ANKLE (AP, LAT & OBLIQUE) RIGHT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"SEL CATH ART, 1ST ORDER",Vascular,Selective catheterization of a first-order artery involves the vascular system.,Interventional Procedure,Yes,Selective arterial catheterization uses fluoroscopic guidance to advance a catheter into the target arteryhttps://www.radiologyinfo.org/en/info/angioplasty#:~:text=Angioplasty%20uses%20a%20balloon,It%20may%20be%20done.,Insertion of a catheter into an artery is invasivehttps://www.radiologyinfo.org/en/info/angioplasty#:~:text=Angioplasty%20uses%20a%20balloon,It%20may%20be%20done.,,
SPINAL FLUORO,Spine,"Spinal fluoroscopy provides real-time imaging of the spine, often used to guide procedures such as myelograms or spinal injections.",Fluoroscopy,Yes,Fluoroscopy converts x-rays into live images to guide spinal procedureshttps://www.radiologyinfo.org/en/info/fistulogram-sinogram#:~:text=The%20radiologist%20typically%20will%20introduce,plastic%20tube%20called%20a%20catheter.,"Spinal fluoroscopy is typically performed in conjunction with a procedure requiring a needle or catheter insertion into the spinal canal, which is invasivehttps://my.clevelandclinic.org/health/diagnostics/12544-lumbar-puncture-spinal-tap#:~:text=When%20the%20area%20of%20your,needle%20to%20the%20correct%20spot.",,,
"ULTRASOUND, AAA SCREENING",Vascular,"Abdominal aortic aneurysm screening evaluates the aorta, which is part of the vascular system.",Ultrasound,No,AAA screening uses abdominal ultrasound to image the aortahttps://my.clevelandclinic.org/health/diagnostics/24919-abdominal-aortic-aneurysm-screening#:~:text=An%20abdominal%20aortic%20aneurysm%20,75%20with%20a%20history%20of.,Ultrasound is noninvasive and does not require incisions or ionizing radiationhttps://my.clevelandclinic.org/health/diagnostics/24919-abdominal-aortic-aneurysm-screening#:~:text=Healthcare%20providers%20use%20an%20abdominal,This%20method%20of%20testing.,,
US CHEST WALL SOFT TISSUE,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No,,,,,,
US GUID FOR NEEDLE PLACEMENT,Whole-body/Polytrauma,Ultrasound-guided needle placement can be used in various organs throughout the body.,Ultrasound,Yes,Ultrasound provides real-time imaging to guide needle placementhttps://my.clevelandclinic.org/health/treatments/14512-arthrocentesis-joint-aspiration#:~:text=What%20happens%20during%20the%20arthrocentesis,procedure.,"The procedure involves inserting a needle into the body, making it invasivehttps://my.clevelandclinic.org/health/treatments/14512-arthrocentesis-joint-aspiration#:~:text=What%20happens%20during%20the%20arthrocentesis,procedure.",,,
US INTR-OP 90 MINS,Whole-body/Polytrauma,Intraoperative ultrasound can be used during various surgical procedures to image different regions of the body.,Ultrasound,No,Ultrasound uses sound waves to produce images and is used intraoperatively for guidancehttps://www.radiologyinfo.org/en/info/genus#:~:text=Ultrasound%20imaging%20uses%20sound%20waves,and%20does%20not%20use%20radiation.,Ultrasound imaging is noninvasive and does not add invasive steps beyond the surgery itselfhttps://www.radiologyinfo.org/en/info/genus#:~:text=Ultrasound%20imaging%20uses%20sound%20waves,and%20does%20not%20use%20radiation.,,
US INTRA-OP 120 MINS,Whole-body/Polytrauma,Intraoperative ultrasound for 120 minutes may be used during surgery to image various organs.,Ultrasound,No,Ultrasound provides real-time guidance during surgery and is safe and noninvasivehttps://www.radiologyinfo.org/en/info/genus#:~:text=Ultrasound%20imaging%20uses%20sound%20waves,and%20does%20not%20use%20radiation.,Ultrasound imaging itself is noninvasivehttps://www.radiologyinfo.org/en/info/genus#:~:text=Ultrasound%20imaging%20uses%20sound%20waves,and%20does%20not%20use%20radiation.,,
"US NECK, SOFT TISSUE",Neck,The description involves imaging of the neck or cervical region.,Ultrasound,No,,,,,,
US PER DRAIN SUBDIAPHRAM ABSCESS,Abdomen,Ultrasound-guided drainage of a subdiaphragmatic abscess targets an abscess below the diaphragm.,Ultrasound,Yes,Ultrasound guides placement of a catheter into the abscess cavityhttps://www.radiologyinfo.org/en/info/biliary#:~:text=Biliary%20interventions%20include%3A.,Inserting a catheter into an abscess through the skin is invasivehttps://www.radiologyinfo.org/en/info/biliary#:~:text=Biliary%20interventions%20include%3A.,,,,
US THORACENTESIS NEEDLE/CATHETER ASP W IMAGING,Chest,Thoracentesis removes fluid from the pleural space in the chest.,Ultrasound,Yes,Ultrasound is used to guide the needle or catheter during thoracentesishttps://www.radiologyinfo.org/en/info/biliary#:~:text=Biliary%20interventions%20include%3A.,"A needle or catheter is inserted through the chest wall into the pleural space, which is invasive.",,,,
VENA CAVA FILTER,Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No,,,,,,
XT RENAL BX W/RENAL MD,Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No,,,,,,
ZEVALIN,Whole-body/Polytrauma,Zevalin therapy delivers radiation to lymphoma cells throughout the body.,Nuclear Medicine,No,Zevalin consists of a radiolabeled antibody administered intravenously as a nuclear medicine therapy.,The therapy involves intravenous infusion of a radiopharmaceutical but no surgical intervention.,,,,
,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
ASPIRATE PLEURA WITH IMAGING,Chest,Aspiration of the pleural space removes fluid or air from the chest cavity.,Ultrasound,Yes,"Imaging, often ultrasound, guides needle placement for pleural aspirationhttps://www.radiologyinfo.org/en/info/biliary#:~:text=Biliary%20interventions%20include%3A.","A needle is inserted through the chest wall into the pleural space, which is invasive.",,,,
B CT LOW EXT W&W/O C BILAT,MSK Lower Limb,CT of both lower extremities images bones and soft tissues of the legs.,CT,No,Computed tomography uses special x‑ray equipment to create cross‑sectional imageshttps://www.radiologyinfo.org/en/info/headct#:~:text=Computed%20tomography%20,enough%20to%20help%20save%20lives.,"CT scanning is painless and non‑invasive, even when contrast is usedhttps://www.radiologyinfo.org/en/info/headct#:~:text=,all%20at%20the%20same%20time.",,,
B ELBOW (AP & LAT) SOFT TISSUE BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
"B FINGER(S),2+VIEWS BILAT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
B RENAL TRANSPLANT U.S. BILAT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No,,,,,,
"B SHOULDER (AP, NEUTRAL & AXILLARY) SOFT TISSUE BILAT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
B TIB/FIB (AP & LAT) SOFT TISSUE BILAT,MSK Lower Limb,AP and lateral x‑ray views of the tibia and fibula evaluate the bones and soft tissues of the lower legs.,X‑ray,No,X‑ray imaging provides pictures of bones and soft tissues and is commonly used for tibia/fibula injuries.,Radiographic exams are non‑invasivehttps://www.nationwidechildrens.org/specialties/radiology/radiology-services/diagnostic-procedures/x-ray#:~:text=An%20x,shades%20show%20how%20some%20body.,,,
BABYGRAM CHEST & ABD (2 FILMS STANDARD),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
BO FEMUR (AP & LAT) BILAT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
BO TIB/FIB (AP & LAT) BILAT IN O.R.,MSK Lower Limb,X‑ray images of the tibia and fibula are taken during surgery in the operating room.,X‑ray,No,Intraoperative x‑rays capture AP and lateral views of bones.,X‑ray imaging itself is non‑invasivehttps://www.nationwidechildrens.org/specialties/radiology/radiology-services/diagnostic-procedures/x-ray#:~:text=An%20x,shades%20show%20how%20some%20body.,,,
C-SPINE TRAUMA W/OBLS & FLEX & EXT 6 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
CISTERNOGRAM,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",X-ray,No,,,,,,
CT COLON TECH ABD/PEL W&W/O C,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
CT DESTUCT TUMOR EXTEN,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
CT FISTULOGRAM S&I,Vascular,A fistulogram evaluates an abnormal passage (fistula) and is considered a vascular/soft‑tissue procedure.,CT,Yes,CT fistulogram uses computed tomography to obtain detailed images after contrast is injected into the fistula.,Fistulograms involve insertion of a catheter into the fistula tract and injection of contrast materialhttps://www.radiologyinfo.org/en/info/fistulogram-sinogram#:~:text=A%20fistulogram%20is%20a%20medical,fistulas%20and%20sinuses%20and%20anyhttps://www.radiologyinfo.org/en/info/fistulogram-sinogram#:~:text=The%20radiologist%20typically%20will%20introduce,plastic%20tube%20called%20a%20catheter.,,
CT GUID/MONIT VISCERAL TISSUE ABLATION,Abdomen,CT‑guided ablation of visceral tissue typically targets tumors or lesions within abdominal organs.,CT,Yes,CT provides real‑time imaging to guide and monitor needle placement and ablation within visceral organs.,"Ablation procedures require insertion of a probe into the tissue, making them invasive.",,,,
CT PLEURAL BX,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,Yes,,,,,,
CT SUBDIA & SUBPHRENIC DRAINAGE,Abdomen,Subdiaphragmatic and subphrenic spaces are in the upper abdomen.,CT,Yes,CT imaging guides percutaneous drainage of abscesses or fluid collectionshttps://www.ncbi.nlm.nih.gov/books/NBK564356/#:~:text=Percutaneous%20abscess%20drainage%20is%20a,the%20risk%20of%20sepsis%20and.,Placing a drainage catheter into a collection is an invasive procedure under imaging guidancehttps://www.ncbi.nlm.nih.gov/books/NBK564356/#:~:text=Percutaneous%20abscess%20drainage%20is%20a,the%20risk%20of%20sepsis%20and.,,
CTC VIRTUAL COLONOGRAPHY W/O CONTRAST,Abdomen,The colon is part of the abdominal organ system.,CT,Yes,CT colonography uses CT scanning to create images of the colon while the colon is distended with gas via a small rectal tubehttps://www.radiologyinfo.org/en/info/ct_colo#:~:text=Computed%20tomography%20,the%20rectum%20and%20takes%20pictures.,A small tube is placed into the rectum and gas is introduced to distend the colon for imaginghttps://www.radiologyinfo.org/en/info/ct_colo#:~:text=Computed%20tomography%20,the%20rectum%20and%20takes%20pictures.,,
EXERCISE MIBI 2-DAY,Cardiothoracic,Exercise MIBI scans assess myocardial perfusion and heart function.,Nuclear medicine,No,"A radiotracer (e.g., technetium‑99m sestamibi) is injected and a special camera records images of blood flow in the hearthttps://my.clevelandclinic.org/health/diagnostics/17015-gallium-scan#:~:text=A%20gallium%20scan%20is%20a,the%20gallium%20and%20takes%20pictureshttps://my.clevelandclinic.org/health/diagnostics/17015-gallium-scan#:~:text=During%20a%20gallium%20scan%2C%20a,the%20gallium%20inside%20your%20body.",Myocardial perfusion imaging is non‑invasive apart from the injection of the radiotracerhttps://my.clevelandclinic.org/health/diagnostics/17015-gallium-scan#:~:text=A%20gallium%20scan%20is%20a,the%20gallium%20and%20takes%20pictureshttps://my.clevelandclinic.org/health/diagnostics/17015-gallium-scan#:~:text=During%20a%20gallium%20scan%2C%20a,the%20gallium%20inside%20your%20body.,,
EXT CAROTID BILAT,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
F/U TRANS CATH THERAPY,Vascular,Follow‑up after transcatheter therapy pertains to vascular interventions.,Interventional Procedure,Yes,Transcatheter therapy uses catheters inserted into blood vessels and imaging guidance to deliver treatment such as embolizationhttps://www.radiologyinfo.org/en/info/cathembol#:~:text=Using%20image,skin%20to%20the%20treatment%20site.,"The therapy requires catheter insertion and contrast injection, so it is invasivehttps://www.radiologyinfo.org/en/info/cathembol#:~:text=Using%20image,skin%20to%20the%20treatment%20site.",,,
"INC/DRAINAGE ABCESS, SGL OR SIMPLE",Irrelevant,The description does not correspond to a specific radiology anatomy test.,Interventional Procedure,Yes,,,,,,
L ANKLE AP & LAT STANDING LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
L HUMERUS (AP & LAT) SOFT TISSUE LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
"L KNEE (AP, LAT & TUNNEL) LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
L MR ELBOW W&W/O CONTRATS LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No,,,,,,
L NAVICULAR (SCAPHOID ONLY) 4 VIEWS LEFT,MSK Upper Limb,The navicular or scaphoid bone is part of the wrist in the upper limb.,X‑ray,No,Four radiographic views provide detailed images of the scaphoid bone.,X‑ray imaging is painless and non‑invasivehttps://www.nationwidechildrens.org/specialties/radiology/radiology-services/diagnostic-procedures/x-ray#:~:text=An%20x,shades%20show%20how%20some%20body.,,,
L UNILAT DIAGNOSTIC MAMMOGRAM LEFT,Breast,The description involves imaging of the breasts.,Mammography,No,,,,,,
L WRIST (AP & LAT) SOFT TISSUE LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
LO ANKLE (2 VIEWS) LEFT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
LP HEEL (AXIAL & LATERAL) LEFT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
MAMMO NEEDLE LOCALIZATION RIGHT,Breast,The description involves imaging of the breasts.,Mammography,Yes,,,,,,
MECH REM OBSTRUCTION GI TUBES,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No,,,,,,
MR CHEST/MEDIAATINUM W/O CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No,,,,,,
MR DOUBLE DOSE CONTRAST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No,,,,,,
MRA KIDNEY,Genitourinary,The description involves imaging of the urinary or reproductive organs.,MRI,No,,,,,,
MRA KIDNEY W/C (ABD),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No,,,,,,
NEONATAL HIP,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"O L-SPINE (AP,LAT,FLEX,EXT) IN O.R.",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
O SELLA TURCICA (2 VIEWS) IN O.R.,Head,The sella turcica is a structure within the skull; 2 views of the skull are taken.,X‑ray,No,Skull radiographs use X‑rays to produce images of cranial structures.,Radiography is a non‑invasive imaging modalityhttps://www.nationwidechildrens.org/specialties/radiology/radiology-services/diagnostic-procedures/x-ray#:~:text=An%20x,shades%20show%20how%20some%20body.,,,
OFFICE CONSULTATION,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
"OL ANKLE (AP, LAT & OBLIQUE) IN O.R. LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
OP PELVIS (AP ONLY) IN O.R. PORT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No,,,,,,
OR KNEE (2 VIEWS) IN O.R. RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
P ABDOMINAL FLUORO WITHOUT RADIOLOGIST PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
P ART DUP EXT UP BILAT COMP PORT,Vascular,Arterial duplex ultrasound of the upper extremities assesses blood flow in arteries.,Ultrasound,No,Duplex ultrasound uses sound waves to visualize arteries and measure blood flow; it is non‑invasivehttps://www.radiologyinfo.org/en/info/genus#:~:text=Ultrasound%20imaging%20uses%20sound%20waves,and%20does%20not%20use%20radiation.,Ultrasound imaging does not involve needles or incisionshttps://www.radiologyinfo.org/en/info/genus#:~:text=Ultrasound%20imaging%20uses%20sound%20waves,and%20does%20not%20use%20radiation.,,
P EMERGENCY ABDOMEN U.S. PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No,,,,,,
P GUIDANCE/LOCALIZATION FOR NEEDLE BIOPSY US (S&I) PORT,Whole-body/Polytrauma,Ultrasound guidance for needle biopsy may be used on various body parts; the description does not specify an anatomic region.,Ultrasound,Yes,Ultrasound is used to guide needle placement during biopsy procedureshttps://my.clevelandclinic.org/health/diagnostics/muscle-biopsy#:~:text=4,%E2%80%94%20they%E2%80%99ll%20remove%20the%20instrument.,Needle biopsy requires puncturing the skin and inserting a needle to obtain tissue sampleshttps://my.clevelandclinic.org/health/diagnostics/muscle-biopsy#:~:text=4,%E2%80%94%20they%E2%80%99ll%20remove%20the%20instrument.,,
P SPLEEN ULTRASOUND PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No,,,,,,
P US INTR-OP 60 MINS PORT,Whole-body/Polytrauma,Intraoperative ultrasound can be used to visualize organs during surgery and is not limited to one body part.,Ultrasound,No,Ultrasound uses sound waves to provide real‑time images during surgeryhttps://www.radiologyinfo.org/en/info/genus#:~:text=Ultrasound%20imaging%20uses%20sound%20waves,and%20does%20not%20use%20radiation.,The ultrasound examination itself is non‑invasive even though it is used during an invasive surgeryhttps://www.radiologyinfo.org/en/info/genus#:~:text=Ultrasound%20imaging%20uses%20sound%20waves,and%20does%20not%20use%20radiation.,,
P US RENAL ARTERY DOPPLER PORT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No,,,,,,
PELVIS SEL/SUPERSEL A-GRAM,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,Angiography,No,,,,,,
PERCU BALLON DILATION URETER,Genitourinary,Balloon dilation of the ureter is a procedure performed on the urinary tract.,Interventional Procedure,Yes,"The procedure uses a catheter with a balloon to dilate the ureter under fluoroscopic guidance, similar to angioplasty.","Balloon dilation requires insertion of a catheter and balloon into the ureter, which is invasive.",,,,
PR ABDOMEN (LAT DECUB ONLY) PORT RIGHT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
PR BABYGRAM CHEST DECUB ONLY (71035) PORT RIGHT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
PR FOOT 2 VIEWS PORT RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
PR SHOULDER 1 VIEW PORT RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
PTA ILIAC,Vascular,The iliac arteries are part of the vascular system.,Interventional Procedure,Yes,Percutaneous transluminal angioplasty uses a balloon‑tipped catheter under fluoroscopy to open narrowed vesselshttps://www.radiologyinfo.org/en/info/angioplasty#:~:text=Angioplasty%20uses%20a%20balloon,It%20may%20be%20done.,Angioplasty involves inserting a catheter and dilating the artery with a balloonhttps://www.radiologyinfo.org/en/info/angioplasty#:~:text=Angioplasty%20uses%20a%20balloon,It%20may%20be%20done.,,
"R ARTHROGRAM,SHOULDER RIGHT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
R FOOT 1 VIEW RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
R UNILAT DIAGNOSTIC MAMMOGRAM RIGHT,Breast,The description involves imaging of the breasts.,Mammography,No,,,,,,
REMOVE ENDOCAS VENA CAVA FILTER,Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No,,,,,,
RO UPPER EXTREMITY FLUORO WITHOUT RADIOLOGIST RIGHT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
RO WRIST(3 + VIEWS) RIGHT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
RP AP WRIST & HAND RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
RP FOOT (AP & LAT) SOFT TISSUE RIGHT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
"RP HAND, AP & LAT. VIEWS RIGHT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
SML BOWEL VIA ENTROCLYSIS TUBE,Abdomen,Enteroclysis evaluates the small bowel.,Fluoroscopy,Yes,A tube is inserted through the nose or mouth into the small bowel and contrast is administered while x‑ray and fluoroscopy capture imageshttps://www.baptisthealth.com/care-services/services/imaging-diagnostics/screening-and-radiology-services/ct-enteroclysis-radiology#:~:text=,getting%20up%20from%20the%20table.,The procedure requires placing a tube into the small intestine and instilling contrasthttps://www.baptisthealth.com/care-services/services/imaging-diagnostics/screening-and-radiology-services/ct-enteroclysis-radiology#:~:text=,getting%20up%20from%20the%20table.,,
SPINAL FLUORO WITH RADIOLOGIST,Spine,The term indicates fluoroscopic imaging of the spine.,Fluoroscopy,No,Fluoroscopy uses continuous x-ray to produce real-time images during spinal procedures.,Fluoroscopic imaging alone does not require incision or instrument insertion.,,,,
SPINE FLOURO (KEEL),Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
"T ENDO, STENT GRAFT THORACIC ANYSM W/O SUBCLVN",Vascular,Endovascular stent graft placement treats thoracic aortic aneurysms via the vascular system.,Interventional Procedure,Yes,Uterine fibroid embolization and other embolization procedures use fluoroscopy to guide a catheter and inject embolic agents or deploy a stent grafthttps://www.radiologyinfo.org/en/info/uterine-fibroid-treatment#:~:text=What%20is%20Uterine%20Fibroid%20Embolization,UFE.,Placing a stent graft requires inserting a catheter into an artery and deploying the graft under fluoroscopic guidancehttps://www.radiologyinfo.org/en/info/uterine-fibroid-treatment#:~:text=What%20is%20Uterine%20Fibroid%20Embolization,UFE.,,
THORACOSTOMY TUBE INSERTION FOR ABSCESS/HEMATHORAX,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
THYROID ABLATION: CARCINOMA,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
THYROID BX BY RADIOLOGIST,Neck,The description involves imaging of the neck or cervical region.,X-ray,No,,,,,,
TRANS CATH INFUSSION,Vascular,A transcatheter infusion involves delivering medication or contrast through a catheter placed in a blood vessel.,Interventional Procedure,Yes,Angiographic procedures use catheters inserted through blood vessels and fluoroscopic imaging to deliver contrast or medicationhttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.,The procedure requires inserting a catheter into a vessel and infusing medication or contrasthttps://my.clevelandclinic.org/health/diagnostics/4977-angiography#:~:text=During%20an%20angiogram%20procedure%2C%20your,provider%20will.,,
ABDOMEN SGL VIEW,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No,,,,,,
B CT LOW EXT W/O C & RECONS BILAT,MSK Lower Limb,Bilateral CT of the lower extremities images bones and soft tissues of both legs.,CT,No,CT uses x-ray equipment and computers to create cross-sectional imageshttps://www.radiologyinfo.org/en/info/headct#:~:text=Computed%20tomography%20,enough%20to%20help%20save%20lives.,CT scanning is painless and non-invasive despite the use of x-rayshttps://www.radiologyinfo.org/en/info/headct#:~:text=,all%20at%20the%20same%20time.,,
B FOOT (AP & LAT) SOFT TISSUE BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
B KNEE 2 VIEW PORTABLE BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
B KNEE STANDING 2 VIEWS BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No,,,,,,
B MR THIGH W&W/O CONTRAST BILAT,MSK Lower Limb,MRI of both thighs evaluates muscles and soft tissues of the lower limbs.,MRI,No,MRI uses a strong magnetic field and radio waves to create detailed images and does not use ionizing radiationhttps://www.radiologyinfo.org/en/info/mri-brain#:~:text=A%20brain%20MRI%2C%20also%20called,a%20contrast%20material%20called%20gadolinium.,MRI is a non-invasive imaging technique without needles or incisionshttps://www.radiologyinfo.org/en/info/mri-brain#:~:text=,functional%20information%20in%20selected%20cases.,,
B US EXTREMITY NONVASCULAR BILAT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No,,,,,,
"B WRIST, AP & LAT VIEWS BILAT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
BIL DUCT STONE EXT PERC OR T-TUBE,Abdomen,Removal of bile duct stones via percutaneous approach or T-tube concerns the biliary system in the abdomen.,Interventional Procedure,Yes,Percutaneous biliary procedures involve inserting a needle or catheter through the skin into a bile duct and injecting contrast under imaging guidancehttps://www.radiologyinfo.org/en/info/biliary#:~:text=Biliary%20interventions%20include%3A.,"Retrieval of bile duct stones requires percutaneous access or manipulation of an indwelling T‑tube, making the procedure invasivehttps://www.radiologyinfo.org/en/info/biliary#:~:text=Biliary%20interventions%20include%3A.",,,,
BP AP WRIST & HAND BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No,,,,,,
BP CHEST (LAT DECUB ONLY) BILAT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No,,,,,,
BP UPPER EXTREM VEINS US BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No,,,,,,
"C-SPINE, TRAUMA (WITH OBLS)",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
CARDIAC PERFUSION PHARM 2-DAY,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No,,,,,,
CAUTERIZE GRANULATION TISSUE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No,,,,,,
CENTRAL VENOUS LINE PLACEMENT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,Yes,,,,,,
CERVICOCEREBRAL A-GRAM,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",Angiography,No,,,,,,
CHEST WALL U.S. SCAN,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No,,,,,,
COCCYX,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No,,,,,,
CT ETOH ABLATION/TPA INFUSION LIVER,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No,,,,,,
"CT HEART W&W/O CONTRAST;GATING/3D;L&R VENT FUCTION,EJECTION FRACTION,WALL MOTION",Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,CT,No,,,,,,
CT NECK W/CONT +RECONSTRUCTION,Neck,The description involves imaging of the neck or cervical region.,CT,No,,,,,,
"CT RFA LUNGS/PLEURA, UNILATERAL",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No,,,,,,
