description,class,class_reason,tool,is_invasive
PERSANTINE MIBI MIBI,Cardiothoracic,Persantine MIBI is a nuclear medicine stress test that evaluates myocardial perfusion.,Nuclear Medicine,No
PP CHEST FLUORO WITHOUT RADIOLOGIST PORT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
R 36216 2ND ORDER THOR/BRACHIOCEPHALIC RIGHT,Vascular,Second-order thoracic or brachiocephalic arterial catheterization involves the vascular system.,Interventional Procedure,Yes
R FOREARM (AP & LAT) SOFT TISSUE RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
R KNEE STANDING 2 VIEWS RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
R MR ANKLE W&W/O CONTRAST RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
R THUMB (AP & LATERAL) RIGHT,MSK Upper Limb,AP and lateral views of the thumb are radiographs of the finger in the upper limb.,X‑ray,No
RP ELBOW (AP & LAT) SOFT TISSUE RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"RP FINGER(S),2+VIEWS RIGHT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
SEL CATH PLACMT LT/RT PUL ARTERY,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
"SPINE, SINGLE FILM",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
"STENT INTRACRANIAL INCL PTA, ATHEROSCLEROSIS",Neural,Intracranial stent placement and angioplasty treat atherosclerotic lesions in cerebral arteries.,Interventional Procedure,Yes
THYROID ABLATION: GRAVES,Neck,The description involves imaging of the neck or cervical region.,X-ray,No
"B BILAT HIPS (AP,LAT & AP PELVIS) BILAT",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
B BILAT LOWER EXT VEINS BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
B LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
B SHOULDER 1 VIEW BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
B VENOUS DUP EXT UNI (MAP/DVT) BILAT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
BONE MARROW SCAN,Whole-body/Polytrauma,A bone marrow scan is a nuclear medicine study evaluating bone marrow throughout the body.,Nuclear Medicine,No
CAROTID/CERVICAL UNILAT,Neck,The description involves imaging of the neck or cervical region.,X-ray,No
CC NON IONIC CONTRAST SUPPLY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
CHEST (APICAL LORDOTIC ONLY),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
CT FISTULOGRAM/SINOGRAM,Abdomen,"A CT fistulogram or sinogram evaluates a fistulous tract using CT with contrast injection, often in the abdomen or pelvis.",CT,Yes
CT PANC BX,Abdomen,CT-guided biopsy of the pancreas samples tissue from the pancreas.,CT,Yes
CT SINUS/MANDIBLE/MAXILLOFACIAL W/ CONTRAST,Head,"CT imaging of the sinuses, mandible and maxillofacial region assesses facial bones and soft tissue.",CT,No
CT STEREOTAXIS W/O CONTRAST,Head,CT stereotaxis is used for surgical navigation and localization within the head.,CT,No
"CT,CORONAL,SAGITAL,OBL RECONSTRUCTION",Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
EMERGENCY RENAL U.S.,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No
EXCHANGE PREV PLACED DRAINAGE CATHETER,Abdomen,Exchange of a previously placed drainage catheter typically involves an abdominal or pelvic abscess drain.,Interventional Procedure,Yes
FACIAL BONE (WATERS & LAT),Head,Waters and lateral views are standard radiographic projections of the facial bones and paranasal sinuseshttps://entokey.com/radiology-of-the-nasal-cavity-and-paranasal-sinuses/#:~:text=used%20to%20examine%20the%20paranasal,walls%20of%20the%20frontal%20sinuses.,No
FNA ANY LOCATION,Whole-body/Polytrauma,Fine needle aspiration can be performed on lesions located anywhere in the body.,Interventional Procedure,Yes
INC/DRAINAGE ABSCESS COMPLEX,Whole-body/Polytrauma,Incision and drainage of a complex abscess can occur in various body regions.,Interventional Procedure,Yes
INCOMPLETE/UNSCUCCESSFUL,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
L 36216 2ND ORDER THOR/BRACHIOCEPHALIC LEFT,Vascular,Second-order thoracic or brachiocephalic artery catheterization on the left side.,Interventional Procedure,Yes
L 50398 CHG NEPHROSTOMY UNILAT LEFT,Genitourinary,Changing a nephrostomy tube on the left side involves the kidney and urinary system.,Interventional Procedure,Yes
L ART DUP EXT UP UNI OR LMTD LEFT,Vascular,A limited arterial duplex ultrasound of the upper extremity (left) assesses blood flow in arm arteries.,Ultrasound,No
L MR ARM W/O CONTRAST LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
L MR HAND W/O&W/CONTRAST LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
L MRA LEG W&W/OC LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,MRI,No
L UNILAT POST PROCEDURE MAMMOGRAM LEFT,Breast,The description involves imaging of the breasts.,Mammography,No
LAB RECONSTRUCTIONS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
LIMITED EXTREM VENOUS US,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
"LO FOOT AP,LAT & OBL LEFT IN O.R.",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LOWER EXTREMITY FLUORO WITHOUT RADIOLOGIST,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LP HAND (AP & LAT) SOFT TISSUE LEFT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
LYMPH NODE BX DEEP-RETROPERITONEAL,Abdomen,A deep retroperitoneal lymph node biopsy targets lymph nodes in the abdomen.,Interventional Procedure,Yes
MR 3D RENDERING W/O POST PROCESSING ON INDEPENDENT WS,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No
"MR BODY SCOUTS ONLY, NO CHARGE",Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No
MR S.T. NECK W & W/O GADO,Neck,The description involves imaging of the neck or cervical region.,MRI,No
MRA PELVIS,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,MRI,No
MRI CHEST/MEDIASTINUM W/CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No
MRI NASO PHARYNX W & W/O CONTRAST,Head,MRI of the nasopharynx evaluates structures in the head region.,MRI,No
NASO-INTESTINAL TIBE PLACEMENT (W/FLUORO),Genitourinary,The description involves imaging of the urinary or reproductive organs.,Interventional Procedure,Yes
NON-IONIC 200 CC SUPPLY,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
O HIP (UNILAT 2 VIEW) W/PELVIS (1 VIEW) IN O.R.,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
O PELVIS PORTABLE IN O.R.,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
OP T-SPINE IN O.R. PORT,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
P ABDOMEN U.S. (PORTABLE) PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
P BLADDER US PORT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No
P CTA ABD W&W/O C & RECONS PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
P HIP (UNILAT 2 VIEW) W/PELVIS (1 VIEW) PORT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
P NEONATAL HEAD PORTABLE PORT,Head,The description involves imaging of the head or skull.,X-ray,No
P ORBITS PRE-MRI (WATERS LOOK UP&DOWN) PORT,Head,A Waters view radiograph of the orbits is used prior to MRI to evaluate the paranasal sinuses and orbits.,X‑ray,No
P THYROID U.S. PORT,Neck,The description involves imaging of the neck or cervical region.,Ultrasound,No
"PELVIS, EARLY OB US",Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
PR TIB/FIB (AP & LAT) PORT RIGHT,MSK Lower Limb,Portable anteroposterior and lateral radiographs of the right tibia and fibula evaluate the lower limb bones.,X‑ray,No
PTA FEMORAL/POPLITEAL,Vascular,Percutaneous transluminal angioplasty of the femoral or popliteal artery treats blocked leg arteries.,Interventional Procedure,Yes
R BABYGRAM CHEST DECUB ONLY (71035) RIGHT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
R CT LOW EXT W/O C & RECONS RIGHT,MSK Lower Limb,CT imaging of the right lower extremity with reconstructions evaluates bones and soft tissues of the leg.,CT,No
R CTA UPPER EXT W&W/O C & RECONS RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,CT,No
R FOOT (AP & LAT) SOFT TISSUE RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
R HAND FILM IN OR RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
R MR WRIST W&W/O CONTRAST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
R MR WRIST W/O CONTRAST RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
R MRA UPPER EXTREMITY RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
"RO ANKLE (AP, MORTISE & LAT) RIGHT IN O.R.",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"RO HAND (AP, LAT & OBLIQUE) RIGHT IN O.R.",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"RP ANKLE (AP, LAT & OBLIQUE) RIGHT PORT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"SEL CATH ART, 1ST ORDER",Vascular,Selective catheterization of a first-order artery involves the vascular system.,Interventional Procedure,Yes
SPINAL FLUORO,Spine,"Spinal fluoroscopy provides real-time imaging of the spine, often used to guide procedures such as myelograms or spinal injections.",Fluoroscopy,Yes
"ULTRASOUND, AAA SCREENING",Vascular,"Abdominal aortic aneurysm screening evaluates the aorta, which is part of the vascular system.",Ultrasound,No
US CHEST WALL SOFT TISSUE,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No
US GUID FOR NEEDLE PLACEMENT,Whole-body/Polytrauma,Ultrasound-guided needle placement can be used in various organs throughout the body.,Ultrasound,Yes
US INTR-OP 90 MINS,Whole-body/Polytrauma,Intraoperative ultrasound can be used during various surgical procedures to image different regions of the body.,Ultrasound,No
US INTRA-OP 120 MINS,Whole-body/Polytrauma,Intraoperative ultrasound for 120 minutes may be used during surgery to image various organs.,Ultrasound,No
"US NECK, SOFT TISSUE",Neck,The description involves imaging of the neck or cervical region.,Ultrasound,No
US PER DRAIN SUBDIAPHRAM ABSCESS,Abdomen,Ultrasound-guided drainage of a subdiaphragmatic abscess targets an abscess below the diaphragm.,Ultrasound,Yes
US THORACENTESIS NEEDLE/CATHETER ASP W IMAGING,Chest,Thoracentesis removes fluid from the pleural space in the chest.,Ultrasound,Yes
VENA CAVA FILTER,Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No
XT RENAL BX W/RENAL MD,Genitourinary,The description involves imaging of the urinary or reproductive organs.,X-ray,No
ZEVALIN,Whole-body/Polytrauma,Zevalin therapy delivers radiation to lymphoma cells throughout the body.,Nuclear Medicine,No
,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
ASPIRATE PLEURA WITH IMAGING,Chest,Aspiration of the pleural space removes fluid or air from the chest cavity.,Ultrasound,Yes
B CT LOW EXT W&W/O C BILAT,MSK Lower Limb,CT of both lower extremities images bones and soft tissues of the legs.,CT,No
B ELBOW (AP & LAT) SOFT TISSUE BILAT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"B FINGER(S),2+VIEWS BILAT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
B RENAL TRANSPLANT U.S. BILAT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No
"B SHOULDER (AP, NEUTRAL & AXILLARY) SOFT TISSUE BILAT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
B TIB/FIB (AP & LAT) SOFT TISSUE BILAT,MSK Lower Limb,AP and lateral x‑ray views of the tibia and fibula evaluate the bones and soft tissues of the lower legs.,X‑ray,No
BABYGRAM CHEST & ABD (2 FILMS STANDARD),Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
BO FEMUR (AP & LAT) BILAT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
BO TIB/FIB (AP & LAT) BILAT IN O.R.,MSK Lower Limb,X‑ray images of the tibia and fibula are taken during surgery in the operating room.,X‑ray,No
C-SPINE TRAUMA W/OBLS & FLEX & EXT 6 VIEWS,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
CISTERNOGRAM,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",X-ray,No
CT COLON TECH ABD/PEL W&W/O C,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
CT DESTUCT TUMOR EXTEN,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
CT FISTULOGRAM S&I,Vascular,A fistulogram evaluates an abnormal passage (fistula) and is considered a vascular/soft‑tissue procedure.,CT,Yes
CT GUID/MONIT VISCERAL TISSUE ABLATION,Abdomen,CT‑guided ablation of visceral tissue typically targets tumors or lesions within abdominal organs.,CT,Yes
CT PLEURAL BX,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,Yes
CT SUBDIA & SUBPHRENIC DRAINAGE,Abdomen,Subdiaphragmatic and subphrenic spaces are in the upper abdomen.,CT,Yes
CTC VIRTUAL COLONOGRAPHY W/O CONTRAST,Abdomen,The colon is part of the abdominal organ system.,CT,Yes
EXERCISE MIBI 2-DAY,Cardiothoracic,Exercise MIBI scans assess myocardial perfusion and heart function.,Nuclear medicine,No
EXT CAROTID BILAT,Neck,The description involves imaging of the neck or cervical region.,X-ray,No
F/U TRANS CATH THERAPY,Vascular,Follow‑up after transcatheter therapy pertains to vascular interventions.,Interventional Procedure,Yes
"INC/DRAINAGE ABCESS, SGL OR SIMPLE",Irrelevant,The description does not correspond to a specific radiology anatomy test.,Interventional Procedure,Yes
L ANKLE AP & LAT STANDING LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
L HUMERUS (AP & LAT) SOFT TISSUE LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
"L KNEE (AP, LAT & TUNNEL) LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
L MR ELBOW W&W/O CONTRATS LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
L NAVICULAR (SCAPHOID ONLY) 4 VIEWS LEFT,MSK Upper Limb,The navicular or scaphoid bone is part of the wrist in the upper limb.,X‑ray,No
L UNILAT DIAGNOSTIC MAMMOGRAM LEFT,Breast,The description involves imaging of the breasts.,Mammography,No
L WRIST (AP & LAT) SOFT TISSUE LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
LO ANKLE (2 VIEWS) LEFT IN O.R.,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
LP HEEL (AXIAL & LATERAL) LEFT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
MAMMO NEEDLE LOCALIZATION RIGHT,Breast,The description involves imaging of the breasts.,Mammography,Yes
MECH REM OBSTRUCTION GI TUBES,Irrelevant,The description does not correspond to a specific radiology anatomy test.,CT,No
MR CHEST/MEDIAATINUM W/O CONTRAST,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",MRI,No
MR DOUBLE DOSE CONTRAST,Irrelevant,The description does not correspond to a specific radiology anatomy test.,MRI,No
MRA KIDNEY,Genitourinary,The description involves imaging of the urinary or reproductive organs.,MRI,No
MRA KIDNEY W/C (ABD),Abdomen,The description involves imaging of abdominal organs or the general abdomen.,MRI,No
NEONATAL HIP,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"O L-SPINE (AP,LAT,FLEX,EXT) IN O.R.",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
O SELLA TURCICA (2 VIEWS) IN O.R.,Head,The sella turcica is a structure within the skull; 2 views of the skull are taken.,X‑ray,No
OFFICE CONSULTATION,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
"OL ANKLE (AP, LAT & OBLIQUE) IN O.R. LEFT",MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
OP PELVIS (AP ONLY) IN O.R. PORT,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,X-ray,No
OR KNEE (2 VIEWS) IN O.R. RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
P ABDOMINAL FLUORO WITHOUT RADIOLOGIST PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
P ART DUP EXT UP BILAT COMP PORT,Vascular,Arterial duplex ultrasound of the upper extremities assesses blood flow in arteries.,Ultrasound,No
P EMERGENCY ABDOMEN U.S. PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
P GUIDANCE/LOCALIZATION FOR NEEDLE BIOPSY US (S&I) PORT,Whole-body/Polytrauma,Ultrasound guidance for needle biopsy may be used on various body parts; the description does not specify an anatomic region.,Ultrasound,Yes
P SPLEEN ULTRASOUND PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,Ultrasound,No
P US INTR-OP 60 MINS PORT,Whole-body/Polytrauma,Intraoperative ultrasound can be used to visualize organs during surgery and is not limited to one body part.,Ultrasound,No
P US RENAL ARTERY DOPPLER PORT,Genitourinary,The description involves imaging of the urinary or reproductive organs.,Ultrasound,No
PELVIS SEL/SUPERSEL A-GRAM,Pelvis,The description involves imaging of the pelvic bones or pelvic region.,Angiography,No
PERCU BALLON DILATION URETER,Genitourinary,Balloon dilation of the ureter is a procedure performed on the urinary tract.,Interventional Procedure,Yes
PR ABDOMEN (LAT DECUB ONLY) PORT RIGHT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
PR BABYGRAM CHEST DECUB ONLY (71035) PORT RIGHT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
PR FOOT 2 VIEWS PORT RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
PR SHOULDER 1 VIEW PORT RIGHT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
PTA ILIAC,Vascular,The iliac arteries are part of the vascular system.,Interventional Procedure,Yes
"R ARTHROGRAM,SHOULDER RIGHT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
R FOOT 1 VIEW RIGHT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
R UNILAT DIAGNOSTIC MAMMOGRAM RIGHT,Breast,The description involves imaging of the breasts.,Mammography,No
REMOVE ENDOCAS VENA CAVA FILTER,Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No
RO UPPER EXTREMITY FLUORO WITHOUT RADIOLOGIST RIGHT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
RO WRIST(3 + VIEWS) RIGHT IN O.R.,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
RP AP WRIST & HAND RIGHT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
RP FOOT (AP & LAT) SOFT TISSUE RIGHT PORT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
"RP HAND, AP & LAT. VIEWS RIGHT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
SML BOWEL VIA ENTROCLYSIS TUBE,Abdomen,Enteroclysis evaluates the small bowel.,Fluoroscopy,Yes
SPINAL FLUORO WITH RADIOLOGIST,Spine,The term indicates fluoroscopic imaging of the spine.,Fluoroscopy,No
SPINE FLOURO (KEEL),Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
"T ENDO, STENT GRAFT THORACIC ANYSM W/O SUBCLVN",Vascular,Endovascular stent graft placement treats thoracic aortic aneurysms via the vascular system.,Interventional Procedure,Yes
THORACOSTOMY TUBE INSERTION FOR ABSCESS/HEMATHORAX,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
THYROID ABLATION: CARCINOMA,Neck,The description involves imaging of the neck or cervical region.,X-ray,No
THYROID BX BY RADIOLOGIST,Neck,The description involves imaging of the neck or cervical region.,X-ray,No
TRANS CATH INFUSSION,Vascular,A transcatheter infusion involves delivering medication or contrast through a catheter placed in a blood vessel.,Interventional Procedure,Yes
ABDOMEN SGL VIEW,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
B CT LOW EXT W/O C & RECONS BILAT,MSK Lower Limb,Bilateral CT of the lower extremities images bones and soft tissues of both legs.,CT,No
B FOOT (AP & LAT) SOFT TISSUE BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
B KNEE 2 VIEW PORTABLE BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
B KNEE STANDING 2 VIEWS BILAT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,X-ray,No
B MR THIGH W&W/O CONTRAST BILAT,MSK Lower Limb,MRI of both thighs evaluates muscles and soft tissues of the lower limbs.,MRI,No
B US EXTREMITY NONVASCULAR BILAT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,No
"B WRIST, AP & LAT VIEWS BILAT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
BIL DUCT STONE EXT PERC OR T-TUBE,Abdomen,Removal of bile duct stones via percutaneous approach or T-tube concerns the biliary system in the abdomen.,Interventional Procedure,Yes
BP AP WRIST & HAND BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
BP CHEST (LAT DECUB ONLY) BILAT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,No
BP UPPER EXTREM VEINS US BILAT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,Ultrasound,No
"C-SPINE, TRAUMA (WITH OBLS)",Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
CARDIAC PERFUSION PHARM 2-DAY,Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,X-ray,No
CAUTERIZE GRANULATION TISSUE,Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
CENTRAL VENOUS LINE PLACEMENT,Vascular,The description involves imaging of blood vessels or vascular structures.,Ultrasound,Yes
CERVICOCEREBRAL A-GRAM,Neural,"The description mentions brain or neurological structures, so it is categorized as Neural.",Angiography,No
CHEST WALL U.S. SCAN,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",Ultrasound,No
COCCYX,Spine,"The description involves imaging of the spinal column (cervical, thoracic, lumbar, sacral).",X-ray,No
CT ETOH ABLATION/TPA INFUSION LIVER,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,CT,No
"CT HEART W&W/O CONTRAST;GATING/3D;L&R VENT FUCTION,EJECTION FRACTION,WALL MOTION",Cardiothoracic,The procedure relates to the heart or thoracic vasculature.,CT,No
CT NECK W/CONT +RECONSTRUCTION,Neck,The description involves imaging of the neck or cervical region.,CT,No
"CT RFA LUNGS/PLEURA, UNILATERAL",Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",CT,No
EXERCISE MIBI MIBI,Cardiothoracic,A MIBI scan assesses myocardial perfusion and heart function.,Nuclear medicine,No
FETAL BPP WITH MEASUREMENTS,Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No
FLUORO LOCALIZATION FOR NEEDLE BIOPSY,Whole-body/Polytrauma,Fluoroscopic localization for a biopsy can be performed on various body sites.,Fluoroscopy,Yes
FULL FETAL (COMPLETE FETAL & MATERNAL EVAL 18 WKS OR >),Obstetric,The description relates to pregnancy or fetal imaging.,X-ray,No
ILEOGRAPHY/LOOPOGRAM,Abdomen,Ileography or loopogram evaluates the ileal conduit or small bowel loops.,Fluoroscopy,Yes
INITIAL 2ND ORDER,Vascular,Initial second‑order selective catheterization involves catheter placement into second‑order branches of arteries.,Interventional Procedure,Yes
INJ PARAVERT F JNT L/S 1 LEV,Spine,The procedure involves injecting into the lumbar or sacral paravertebral facet joint.,Fluoroscopy,Yes
INJ/ASP INTERMED JT W/FLUORO,MSK Upper Limb,"Joint injection/aspiration targets an intermediate joint (e.g., wrist or ankle).",Fluoroscopy,Yes
"INT/SHTH,EP,FXD CURVE/PELL AWY",Irrelevant,The description does not correspond to a specific radiology anatomy test.,X-ray,No
INTRO INTRAVASCULAR STENT,Vascular,The description involves imaging of blood vessels or vascular structures.,Angiography,Yes
INTRO INTRO EXTREMITY ARTERY,Vascular,The description involves imaging of blood vessels or vascular structures.,X-ray,No
IVC GRAM,Vascular,An inferior vena cava (IVC) gram is a venography study of the IVC.,Fluoroscopy,Yes
IVP WITH TOMOGRAPHY,Genitourinary,"An intravenous pyelogram evaluates the kidneys, ureters, and bladder.",X‑ray,Yes
L CTA UPPER EXT W&W/O C & RECONS LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,CT,No
L MRA UPPER EXTREMITY LEFT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,MRI,No
L THUMB (AP & LATERAL) LEFT,MSK Upper Limb,An AP and lateral x‑ray of the thumb evaluates bones of the hand.,X‑ray,No
L US GUID NEEDLE PLACEMENT-BX/ASP/INJ/LOC LEFT,Whole-body/Polytrauma,Ultrasound guidance for needle placement can be used on various tissues and is not specific to one organ.,Ultrasound,Yes
L US MSK KNEE(PATELLA TENDON) LEFT,MSK Lower Limb,The description involves musculoskeletal imaging of the lower limb.,Ultrasound,No
"LO ELBOW (AP, LAT & OBLIQUE) LEFT IN O.R.",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
LP ABDOMEN (WITH LAT DECUB) LEFT PORT,Abdomen,The description involves imaging of abdominal organs or the general abdomen.,X-ray,No
LP AP WRIST & HAND LEFT PORT,MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
LP PLEURAL ASP BY RADIOLOGIST LEFT PORT,Chest,"The description refers to imaging of the chest, lungs or thoracic cavity.",X-ray,Yes
"LP SHOULDER (AP, NEUTRAL & AXILLARY) SOFT TISSUE LEFT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
"LP WRIST, AP & LAT VIEWS LEFT PORT",MSK Upper Limb,The description involves musculoskeletal imaging of the upper limb.,X-ray,No
